ID	Genus	Location	Host	Protein	Study	Patient
WZD63994.1	Alphatorquevirus	Brazil	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55836.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08602.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06473.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55660.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XLW52066.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
WZD64131.1	Alphatorquevirus	Brazil	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55696.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XPB74980.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08576.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08596.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55584.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
WZD64032.1	Alphatorquevirus	Brazil	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55738.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06353.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XPB75011.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55830.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XLW52131.1	Alphatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55799.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06465.1	Alphatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06687.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08494.1	Betatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55890.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55882.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
WZM84531.1	Betatorquevirus	Russia	Homo sapiens	ORF1 protein	NCBI	NCBI
XWX51498.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06718.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06691.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55928.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06705.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06732.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06688.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08460.1	Betatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XWX51497.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08485.1	Betatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06736.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55915.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55894.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55889.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XBU06731.1	Betatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XWX51511.1	Gammatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XOL08660.1	Gammatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
XCH55949.1	Gammatorquevirus	Switzerland	Homo sapiens	ORF1 protein	NCBI	NCBI
XLW52028.1	Gammatorquevirus	China	Homo sapiens	ORF1 protein	NCBI	NCBI
