Sample	Node	XGB	RF	RF_Adenoviridae	RF_Anelloviridae	RF_Arenaviridae	RF_Astroviridae	RF_Bornaviridae	RF_Caliciviridae	RF_Circoviridae	RF_Coronaviridae	RF_Filoviridae	RF_Flaviviridae	RF_Genomoviridae	RF_Hantaviridae	RF_Hepadnaviridae	RF_Hepeviridae	RF_Kolmioviridae	RF_Matonaviridae	RF_Nairoviridae	RF_Orthoherpesviridae	RF_Orthomyxoviridae	RF_Papillomaviridae	RF_Paramyxoviridae	RF_Parvoviridae	RF_Peribunyaviridae	RF_Phenuiviridae	RF_Picornaviridae	RF_Pneumoviridae	RF_Polyomaviridae	RF_Poxviridae	RF_Redondoviridae	RF_Retroviridae	RF_Rhabdoviridae	RF_Sedoreoviridae	RF_Spinareoviridae	RF_Togaviridae	XGB_Adenoviridae	XGB_Anelloviridae	XGB_Arenaviridae	XGB_Astroviridae	XGB_Bornaviridae	XGB_Caliciviridae	XGB_Circoviridae	XGB_Coronaviridae	XGB_Filoviridae	XGB_Flaviviridae	XGB_Genomoviridae	XGB_Hantaviridae	XGB_Hepadnaviridae	XGB_Hepeviridae	XGB_Kolmioviridae	XGB_Matonaviridae	XGB_Nairoviridae	XGB_Orthoherpesviridae	XGB_Orthomyxoviridae	XGB_Papillomaviridae	XGB_Paramyxoviridae	XGB_Parvoviridae	XGB_Peribunyaviridae	XGB_Phenuiviridae	XGB_Picornaviridae	XGB_Pneumoviridae	XGB_Polyomaviridae	XGB_Poxviridae	XGB_Redondoviridae	XGB_Retroviridae	XGB_Rhabdoviridae	XGB_Sedoreoviridae	XGB_Spinareoviridae	XGB_Togaviridae	GC_Content	Length	protein_profiles	stitle	pident	evalue	bitscore
FN1	NODE_273_length_573_cov_0.887097	Sedoreoviridae	Sedoreoviridae	0.0	0.05	0.0	0.02	0.0	0.01	0.04	0.0	0.0	0.13	0.05	0.01	0.02	0.06	0.04	0.03	0.0	0.02	0.05	0.0	0.02	0.0	0.03	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.09	0.0	7,24E+02	797.597	12.994.431	12.877.586	7,98E+00	6,82E+01	21.648.745	8,89E+01	6,26E+02	17.519.052	44.391.904	15.269.201	114.241.884	6,90E+01	8,54E+01	7,18E+01	2.317.573	18.227.653	1.625.629	8,19E+01	2.783.332	103.581.086	22.379.446	30.912.866	8,04E+02	7,52E+01	6,30E+01	7,05E+01	32.796.292	10.645.748	7,77E+01	9.560.847	19.831.087	7,61E+01	60.38	573	MFS_1, Sugar_tr	MAG: MFS transporter [Rhodocyclaceae bacterium]	58.434	1.08e-49	177.0
FN1	NODE_383_length_518_cov_1.498866	Sedoreoviridae	Anelloviridae	0.01	0.09	0.02	0.0	0.0	0.02	0.03	0.0	0.0	0.09	0.05	0.01	0.04	0.02	0.04	0.09	0.0	0.06	0.07	0.0	0.05	0.02	0.03	0.04	0.04	0.0	0.0	0.0	0.01	0.01	0.0	0.08	0.08	0.0	38.189.306	26.441.824	46.127.387	46.038.963	3.304.136	35.961.545	8.572.157	17.395.407	27.139.776	3.194.182	35.365.494	6.643.162	53.978.797	36.394.282	62.854.514	36.371.711	4.497.541	2.276.998	46.137.883	43.180.347	135.866.115	49.556.415	7.549.898	13.629.952	38.808.794	39.672.987	33.249.478	37.190.304	13.896.601	11.677.925	12.670.118	36.189.303	390.301	40.135.183	59.85	518	Abhydrolase_1	alpha/beta fold hydrolase [Phyllobacterium myrsinacearum]	79.651	8,59E-82	295.0
FN1	NODE_342_length_534_cov_7033.369803	Sedoreoviridae	Anelloviridae	0.0	0.4	0.03	0.0	0.0	0.01	0.03	0.0	0.0	0.08	0.01	0.0	0.02	0.02	0.09	0.01	0.01	0.03	0.07	0.0	0.02	0.02	0.01	0.04	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.04	0.0	3.455.733	808.791	42.338.585	51.747.806	38.069.515	3.254.144	62.349.206	2.948.376	29.866.833	1.151.285	4.180.494	10.972.846	50.570.685	32.933.021	10.324.181	3.428.317	25.463.693	1.547.616	1.680.005	34.956.979	27.818.274	32.250.888	35.696.928	4.340.276	38.361.184	46.096.197	30.087.302	3.365.334	29.332.747	18.509.727	3.709.004	57.924.044	46.054.028	36.318.146	55.24	534	TT_ORF1	MAG: ORF1 protein, partial [Alphatorquevirus homin29]	98.611	2.94e-40	156.0
FN1	NODE_286_length_569_cov_1.247967	Anelloviridae	Anelloviridae	0.01	0.2	0.01	0.02	0.02	0.0	0.04	0.0	0.0	0.02	0.0	0.02	0.1	0.0	0.03	0.0	0.01	0.0	0.2	0.01	0.06	0.01	0.02	0.04	0.01	0.0	0.02	0.01	0.0	0.09	0.01	0.04	0.0	0.0	47.082.324	31.069.788	27.401.451	4.704.527	446.371	5.085.985	35.739.061	15.540.795	46.679.657	16.874.833	5.001.688	9.055.394	9.443.985	4.587.597	5.091.539	47.850.157	35.465.301	14.997.336	22.029.243	9.203.168	6.931.222	7.149.326	10.159.614	10.136.014	54.886.662	48.115.263	47.024.237	52.597.667	9.841.003	16.295.698	35.400.778	4.526.939	15.472.034	43.825.386	43.06	569	DUF755	MAG: ORF1 [TTV-like mini virus]	98.765	5,60E-29	169.0
FN1	NODE_260_length_581_cov_13221.982143	Sedoreoviridae	Anelloviridae	0.0	0.17	0.03	0.02	0.01	0.03	0.04	0.01	0.0	0.01	0.0	0.05	0.08	0.0	0.0	0.0	0.06	0.0	0.06	0.03	0.03	0.01	0.01	0.04	0.05	0.01	0.06	0.0	0.03	0.03	0.01	0.11	0.01	0.0	4.887.904	24.394.117	28.120.112	256.675	5.088.076	4.602.767	94.631.437	37.915.118	34.736.568	62.111.916	4.227.027	11.188.331	11.062.772	41.517.292	29.679.972	5.395.257	50.395.983	10.723.526	5.501.507	4.944.432	54.880.284	41.376.933	81.873.767	14.489.646	49.671.903	49.758.074	4.255.648	4.760.038	15.328.642	11.231.231	23.173.245	88.653.004	37.657.354	4.464.986	39.59	581	DUF755	MAG: ORF1 [TTV-like mini virus]	98.507	9.19e-36	144.0
FN1	NODE_245_length_589_cov_1818.878906	Pneumoviridae	Anelloviridae	0.0	0.16	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.12	0.01	0.02	0.06	0.08	0.04	0.05	0.05	0.07	0.12	0.0	0.0	0.01	0.01	0.04	0.03	0.01	0.0	0.0	0.0	0.04	0.0	0.06	0.0	0.0	20.662.123	27.912.403	32.085.367	20.402.607	21.508.292	19.456.806	108.122.025	5.365.028	14.683.827	68.572.786	18.825.138	25.952.343	15.563.811	17.550.171	19.478.044	18.495.707	21.156.983	6.472.558	11.829.945	20.901.077	1.175.096	17.490.837	4.949.488	10.786.316	2.293.648	9.151.195	17.989.456	2.012.162	2.764.336	4.794.019	31.442.853	3.597.524	6.877.372	21.714.933	59.76	589	TT_ORF2	MAG: ORF2 protein [Alphatorquevirus]	86.42	4.39e-44	155.0
FN1	NODE_198_length_636_cov_1279.177102	Anelloviridae	Anelloviridae	0.01	0.26	0.0	0.02	0.01	0.01	0.05	0.0	0.0	0.02	0.0	0.0	0.13	0.01	0.09	0.01	0.08	0.02	0.03	0.0	0.02	0.03	0.02	0.03	0.01	0.01	0.0	0.0	0.0	0.07	0.01	0.04	0.01	0.0	4.899.481	4.326.297	5.745.882	9.654.176	4.594.953	5.292.577	8.707.524	73.053.376	39.942.507	19.394.217	58.305.752	4.966.533	17.018.233	52.671.544	16.807.277	5.442.515	52.041.758	3.751.634	2.178.302	63.549.946	3.349.366	5.873.059	67.634.825	8.849.909	5.711.616	4.446.625	4.893.436	5.473.418	470.559	19.516.762	29.417.217	17.604.576	18.933.224	5.906.828	50.63	636	DUF755	ORF1 [Torque teno virus 16]	98.742	1,39E-73	290.0
FN1	NODE_86_length_785_cov_1552.711864	Anelloviridae	Anelloviridae	0.0	0.56	0.03	0.0	0.0	0.02	0.03	0.01	0.0	0.01	0.0	0.01	0.05	0.0	0.0	0.05	0.01	0.01	0.02	0.0	0.02	0.0	0.0	0.05	0.03	0.02	0.0	0.01	0.0	0.02	0.0	0.03	0.01	0.0	6,34E+00	9.992.931	9,67E+00	5,30E+02	6,01E+01	6,85E-01	8,55E+00	9,21E+00	6,28E+00	1,24E+02	5,42E+01	8,38E+00	2,74E+02	6,98E-01	6,85E+00	6,35E+01	1,10E+02	1,04E+02	3,53E+01	7,36E+01	7,55E+01	1,03E+02	8,01E+00	1,84E+02	8,07E+00	2,70E+02	6,33E+01	7,08E+01	1,33E+02	4,96E+01	7,80E+01	5,23E+02	17.259.024	6,79E+01	50.96	785	TT_ORF1	MAG: ORF1 protein [Torque teno virus 16]	98.095	3.1e-135	410.0
FN1	NODE_2_length_2432_cov_37659.103185	Sedoreoviridae	Anelloviridae	0.0	0.77	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.0	0.02	0.0	0.08	0.0	0.0	8.879.594	199.839	8.252.423	98.211.635	7.338.552	8.361.603	32.114.957	6.002.904	63.104.085	56.285.025	5.855.151	65.621.557	12.256.731	75.422.283	11.763.054	8.843.781	9.430.672	15.444.833	72.056.423	8.982.284	5.930.466	11.335.607	3.288.087	29.897.199	9.857	58.725.115	7.731.009	8.647.309	8.309.287	14.020.937	7.797.194	37.046.105	1.274.138	8.111.303	32.44	2432	TT_ORF1	MAG: ORF1 [TTV-like mini virus]	98.789	0.0	849.0
FN1	NODE_54_length_951_cov_44333.623570	Anelloviridae	Anelloviridae	0.0	0.82	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.0	0.04	0.01	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	7,17E+01	99.957.544	6,39E+00	7,12E+00	4,65E+00	6,75E+00	7,84E+00	6,12E+01	5,10E+01	5,03E+00	4,91E+01	9,79E-01	6,96E+01	5,33E-01	6,13E+01	5,87E+01	5,83E+01	5,80E+02	1,50E+02	8,11E+01	5,90E+01	6,71E+01	2,14E+02	4,36E+00	7,29E+01	1,70E+02	6,24E+01	6,98E+00	8,61E+00	1,06E+01	7,70E+00	5,81E+02	1,89E+02	7,54E+01	37.12	951	TT_ORF1	MAG: ORF1 [TTV-like mini virus]	98.077	2.84e-100	320.0
